Doctor_Name,Specialization,State_UT,City_Town_District,Hospital,Contact_Number,Available_Slots,Consultation_Mode
Dr. Riaan Sridhar,Gynecologist,Bihar,Ara,Ara District Hospital,3651902909,09:00 AM - 12:00 PM | 10:00 AM - 01:00 PM,Offline
Dr. Bhavin Talwar,Ophthalmologist,Jharkhand,Giridih,"AMRI Hospital, Giridih",2092319704,06:00 PM - 09:00 PM | 10:00 AM - 01:00 PM,Online
Dr. Mishti Kaur,Nephrologist,West Bengal,Howrah,"Kalinga Hospital, Howrah",7121416778,10:00 AM - 01:00 PM | 04:00 PM - 07:00 PM,Offline
Dr. Hazel Sarin,Urologist,Manipur,Thoubal,"City Care Hospital, Thoubal",0122214180,09:00 AM - 12:00 PM | 10:00 AM - 01:00 PM,Offline
Dr. Miraya Mall,Endocrinologist,Tamil Nadu,Chennai,"Rainbow Hospital, Chennai",7835694351,06:00 PM - 09:00 PM | 02:00 PM - 05:00 PM,Both
Dr. Diya Keer,Gynecologist,Assam,Goalpara,"AMRI Hospital, Goalpara",6675680120,06:00 PM - 09:00 PM | 09:00 AM - 12:00 PM,Both
Dr. Taran Bhardwaj,Ophthalmologist,Mizoram,Champhai,"Shanti Hospital, Champhai",2557383759,09:00 AM - 12:00 PM | 04:00 PM - 07:00 PM,Online
Dr. Uthkarsh Sane,Pulmonologist,Kerala,Idukki,"Manipal Hospital, Idukki",2710766417,02:00 PM - 05:00 PM | 02:00 PM - 05:00 PM,Both
Dr. Vedika Talwar,Nephrologist,Uttarakhand,Tehri,Tehri District Hospital,9014486977,10:00 AM - 01:00 PM | 06:00 PM - 09:00 PM,Both
Dr. Ryan Barad,General Physician,West Bengal,Siliguri,"Ruby Hospital, Siliguri",0755910844,10:00 AM - 01:00 PM | 09:00 AM - 12:00 PM,Both
Dr. Neysa Balan,Oncologist,Kerala,Thrissur,"Rainbow Hospital, Thrissur",5582456609,02:00 PM - 05:00 PM | 04:00 PM - 07:00 PM,Both
Dr. Zara Gara,Endocrinologist,West Bengal,Malda,"Kalinga Hospital, Malda",7765961332,10:00 AM - 01:00 PM | 02:00 PM - 05:00 PM,Offline
Dr. Faiyaz Sahni,Urologist,Uttar Pradesh,Etawah,"Sarvodaya Hospital, Etawah",2851284475,04:00 PM - 07:00 PM | 09:00 AM - 12:00 PM,Both
Dr. Faiyaz Khalsa,Nephrologist,Bihar,Saharsa,Saharsa District Hospital,1829309090,10:00 AM - 01:00 PM | 09:00 AM - 12:00 PM,Online
Dr. Rania Raja,Gynecologist,Rajasthan,Barmer,"Wockhardt Hospital, Barmer",8076683873,10:00 AM - 01:00 PM | 09:00 AM - 12:00 PM,Offline
Dr. Zoya Shankar,Dermatologist,Uttar Pradesh,Meerut,Meerut District Hospital,3067436287,10:00 AM - 01:00 PM | 10:00 AM - 01:00 PM,Online
Dr. Samar Goyal,Endocrinologist,Kerala,Kottayam,Kottayam District Hospital,3945546052,02:00 PM - 05:00 PM | 09:00 AM - 12:00 PM,Offline
Dr. Rania Lalla,Oncologist,Rajasthan,Bharatpur,"HCG Hospital, Bharatpur",7348541539,06:00 PM - 09:00 PM | 02:00 PM - 05:00 PM,Online
Dr. Arnav Rattan,Dermatologist,Karnataka,Hubballi,"Yashoda Hospital, Hubballi",0903669174,02:00 PM - 05:00 PM | 09:00 AM - 12:00 PM,Online
Dr. Vihaan Balay,ENT Specialist,Uttarakhand,Joshimath,"Fortis Hospital, Joshimath",2971693637,10:00 AM - 01:00 PM | 06:00 PM - 09:00 PM,Both
Dr. Pranay Agarwal,Psychiatrist,Punjab,Bathinda,Bathinda District Hospital,8817947792,02:00 PM - 05:00 PM | 09:00 AM - 12:00 PM,Offline
Dr. Ehsaan Chaudry,ENT Specialist,Maharashtra,Latur,"Wockhardt Hospital, Latur",5313998003,06:00 PM - 09:00 PM | 04:00 PM - 07:00 PM,Offline
Dr. Riaan Issac,Nephrologist,Maharashtra,Nagpur,"Lilavati Hospital, Nagpur",6486426309,02:00 PM - 05:00 PM | 06:00 PM - 09:00 PM,Online
Dr. Charvi Randhawa,Pediatrician,Meghalaya,Tura,Tura District Hospital,3504524495,06:00 PM - 09:00 PM | 10:00 AM - 01:00 PM,Both
Dr. Zaina Sabharwal,Dentist,Uttarakhand,Joshimath,"BLK Hospital, Joshimath",8316038943,04:00 PM - 07:00 PM | 10:00 AM - 01:00 PM,Online
Dr. Vidur Trivedi,Radiologist,Maharashtra,Latur,"Kokilaben Hospital, Latur",5983791406,06:00 PM - 09:00 PM | 02:00 PM - 05:00 PM,Online
Dr. Shray Sagar,Dermatologist,Telangana,Khammam,Khammam District Hospital,9779655098,02:00 PM - 05:00 PM | 06:00 PM - 09:00 PM,Online
Dr. Diya Arora,Orthopedic Surgeon,Karnataka,Hubballi,Hubballi District Hospital,1514355889,09:00 AM - 12:00 PM | 02:00 PM - 05:00 PM,Offline
Dr. Shalv Sarkar,Endocrinologist,Gujarat,Bhavnagar,Bhavnagar District Hospital,0054461841,06:00 PM - 09:00 PM | 10:00 AM - 01:00 PM,Both
Dr. Mohanlal Kata,Rheumatologist,Uttar Pradesh,Meerut,Meerut District Hospital,0212477478,10:00 AM - 01:00 PM | 10:00 AM - 01:00 PM,Online
Dr. Miraan Lad,Ophthalmologist,Jharkhand,Hazaribagh,"Ruby Hospital, Hazaribagh",3015668405,02:00 PM - 05:00 PM | 09:00 AM - 12:00 PM,Both
Dr. Tarini Walia,Dermatologist,Rajasthan,Jaipur,"Wockhardt Hospital, Jaipur",7162042674,06:00 PM - 09:00 PM | 02:00 PM - 05:00 PM,Online
Dr. Darshit Varughese,ENT Specialist,Maharashtra,Nanded,"Kokilaben Hospital, Nanded",7199396375,04:00 PM - 07:00 PM | 10:00 AM - 01:00 PM,Offline
Dr. Mamooty Singh,Oncologist,Maharashtra,Dhule,Dhule District Hospital,0664463933,04:00 PM - 07:00 PM | 02:00 PM - 05:00 PM,Both
Dr. Manjari Rama,General Physician,Jharkhand,Giridih,"Medica Hospital, Giridih",7972795450,06:00 PM - 09:00 PM | 10:00 AM - 01:00 PM,Online
Dr. Akarsh Dara,Radiologist,Maharashtra,Dhule,"HCG Hospital, Dhule",1300924043,10:00 AM - 01:00 PM | 06:00 PM - 09:00 PM,Online
Dr. Anahita Wadhwa,ENT Specialist,Sikkim,Namchi,Namchi District Hospital,4005060032,04:00 PM - 07:00 PM | 02:00 PM - 05:00 PM,Offline
Dr. Kaira Buch,General Physician,Haryana,Faridabad,"Fortis Hospital, Faridabad",2173669115,10:00 AM - 01:00 PM | 09:00 AM - 12:00 PM,Offline
Dr. Gatik Talwar,Neurologist,Jharkhand,Dhanbad,"AMRI Hospital, Dhanbad",4645450532,06:00 PM - 09:00 PM | 02:00 PM - 05:00 PM,Online
Dr. Samiha Lall,Dermatologist,Uttarakhand,Champawat,"Max Hospital, Champawat",7041836733,02:00 PM - 05:00 PM | 09:00 AM - 12:00 PM,Online
Dr. Kavya Shankar,Pulmonologist,Uttarakhand,Bageshwar,Bageshwar District Hospital,4125938881,09:00 AM - 12:00 PM | 04:00 PM - 07:00 PM,Both
Dr. Biju Singhal,Physiotherapist,Himachal Pradesh,Manali,"Max Hospital, Manali",8049462590,10:00 AM - 01:00 PM | 04:00 PM - 07:00 PM,Both
Dr. Darshit Bal,Pulmonologist,Odisha,Sambalpur,"Ruby Hospital, Sambalpur",4943966522,02:00 PM - 05:00 PM | 02:00 PM - 05:00 PM,Offline
Dr. Rati Gour,Dentist,Rajasthan,Jodhpur,"Sterling Hospital, Jodhpur",5500485923,06:00 PM - 09:00 PM | 06:00 PM - 09:00 PM,Both
Dr. Miraya Sur,Orthopedic Surgeon,West Bengal,Durgapur,Durgapur District Hospital,4354537858,10:00 AM - 01:00 PM | 09:00 AM - 12:00 PM,Offline
Dr. Taimur Sampath,Ophthalmologist,Jammu and Kashmir,Anantnag,"Fortis Hospital, Anantnag",7055415023,10:00 AM - 01:00 PM | 09:00 AM - 12:00 PM,Offline
Dr. Vardaniya Dubey,Rheumatologist,Bihar,Begusarai,Begusarai District Hospital,2333988735,10:00 AM - 01:00 PM | 02:00 PM - 05:00 PM,Both
Dr. Heer Mann,Physiotherapist,Assam,Barpeta,Barpeta District Hospital,9086524308,09:00 AM - 12:00 PM | 09:00 AM - 12:00 PM,Offline
Dr. Mamooty Joshi,Gastroenterologist,Meghalaya,Jowai,Jowai District Hospital,3078652473,04:00 PM - 07:00 PM | 09:00 AM - 12:00 PM,Both
Dr. Divij Rajagopalan,Pulmonologist,Bihar,Bhagalpur,Bhagalpur District Hospital,7227382928,09:00 AM - 12:00 PM | 09:00 AM - 12:00 PM,Online
Dr. Yuvaan Kant,Pulmonologist,Mizoram,Aizawl,Aizawl District Hospital,1571774055,02:00 PM - 05:00 PM | 06:00 PM - 09:00 PM,Both
Dr. Divyansh Chakraborty,Orthopedic Surgeon,Uttar Pradesh,Rampur,"BLK Hospital, Rampur",1316033300,04:00 PM - 07:00 PM | 09:00 AM - 12:00 PM,Both
Dr. Siya Mannan,Pediatrician,Himachal Pradesh,Hamirpur,"Max Hospital, Hamirpur",5661639687,02:00 PM - 05:00 PM | 10:00 AM - 01:00 PM,Online
Dr. Vanya Balasubramanian,Ophthalmologist,Sikkim,Gangtok,"District Hospital Hospital, Gangtok",2697101488,06:00 PM - 09:00 PM | 10:00 AM - 01:00 PM,Offline
Dr. Dhanush Kannan,Endocrinologist,Rajasthan,Tonk,"Lilavati Hospital, Tonk",5695741835,09:00 AM - 12:00 PM | 10:00 AM - 01:00 PM,Offline
Dr. Gokul Sane,Cardiologist,Tamil Nadu,Thoothukudi,"Yashoda Hospital, Thoothukudi",2996244615,04:00 PM - 07:00 PM | 09:00 AM - 12:00 PM,Both
Dr. Eshani Sandhu,Urologist,Karnataka,Davanagere,Davanagere District Hospital,3607651743,09:00 AM - 12:00 PM | 06:00 PM - 09:00 PM,Both
Dr. Elakshi Sule,Ophthalmologist,Jharkhand,Giridih,"Medica Hospital, Giridih",3413995219,02:00 PM - 05:00 PM | 09:00 AM - 12:00 PM,Offline
Dr. Divyansh Ahuja,Cardiologist,Uttarakhand,Uttarkashi,Uttarkashi District Hospital,5983262790,02:00 PM - 05:00 PM | 09:00 AM - 12:00 PM,Online
Dr. Prerak Anand,Gastroenterologist,Tamil Nadu,Nagercoil,"Yashoda Hospital, Nagercoil",5692427436,10:00 AM - 01:00 PM | 10:00 AM - 01:00 PM,Offline
Dr. Sahil Sood,General Physician,Uttarakhand,Mussoorie,"BLK Hospital, Mussoorie",6826502577,09:00 AM - 12:00 PM | 02:00 PM - 05:00 PM,Offline
Dr. Alisha Bath,Oncologist,Tamil Nadu,Salem,"Aster Hospital, Salem",3786091766,09:00 AM - 12:00 PM | 06:00 PM - 09:00 PM,Online
Dr. Ojas Wable,Cardiologist,Tamil Nadu,Coimbatore,Coimbatore District Hospital,9194345675,04:00 PM - 07:00 PM | 09:00 AM - 12:00 PM,Both
Dr. Yakshit Warrior,Radiologist,Himachal Pradesh,Solan,"BLK Hospital, Solan",0605710315,04:00 PM - 07:00 PM | 02:00 PM - 05:00 PM,Online
Dr. Samarth Sarkar,Physiotherapist,Kerala,Kannur,"Yashoda Hospital, Kannur",0822405581,04:00 PM - 07:00 PM | 09:00 AM - 12:00 PM,Offline
Dr. Vanya Master,Dermatologist,Maharashtra,Dhule,"HCG Hospital, Dhule",8404900461,10:00 AM - 01:00 PM | 09:00 AM - 12:00 PM,Offline
Dr. Nayantara Halder,Nephrologist,Gujarat,Porbandar,"Wockhardt Hospital, Porbandar",7416442082,04:00 PM - 07:00 PM | 02:00 PM - 05:00 PM,Offline
Dr. Yashvi Manda,Pediatrician,Gujarat,Palanpur,Palanpur District Hospital,9459332618,02:00 PM - 05:00 PM | 09:00 AM - 12:00 PM,Offline
Dr. Indranil Johal,Ophthalmologist,Kerala,Malappuram,Malappuram District Hospital,3497293691,10:00 AM - 01:00 PM | 04:00 PM - 07:00 PM,Offline
Dr. Ahana  Chhabra,Pulmonologist,Andhra Pradesh,Vijayawada,"KIMS Hospital, Vijayawada",8338999636,06:00 PM - 09:00 PM | 10:00 AM - 01:00 PM,Online
Dr. Pihu Sha,Orthopedic Surgeon,Uttarakhand,Roorkee,Roorkee District Hospital,4194045853,10:00 AM - 01:00 PM | 04:00 PM - 07:00 PM,Both
Dr. Sumer Kant,Dermatologist,Gujarat,Valsad,Valsad District Hospital,2222722926,04:00 PM - 07:00 PM | 09:00 AM - 12:00 PM,Offline
Dr. Indranil Mander,Psychiatrist,West Bengal,Darjeeling,"Medica Hospital, Darjeeling",5055917168,02:00 PM - 05:00 PM | 06:00 PM - 09:00 PM,Online
Dr. Zeeshan Chandra,Dentist,Jammu and Kashmir,Baramulla,"Max Hospital, Baramulla",5795452960,09:00 AM - 12:00 PM | 04:00 PM - 07:00 PM,Online
Dr. Myra Agrawal,Dentist,Rajasthan,Kota,"Kokilaben Hospital, Kota",2094746461,02:00 PM - 05:00 PM | 09:00 AM - 12:00 PM,Online
Dr. Eva Sharaf,Neurologist,Maharashtra,Nanded,"Lilavati Hospital, Nanded",9629312220,06:00 PM - 09:00 PM | 04:00 PM - 07:00 PM,Both
Dr. Jayesh Chandran,General Physician,Andhra Pradesh,Vijayawada,"KIMS Hospital, Vijayawada",2789713048,04:00 PM - 07:00 PM | 09:00 AM - 12:00 PM,Both
Dr. Dhanuk Brar,Ophthalmologist,Uttar Pradesh,Ayodhya,Ayodhya District Hospital,7226995875,02:00 PM - 05:00 PM | 04:00 PM - 07:00 PM,Online
Dr. Oorja Ratti,Cardiologist,Telangana,Nizamabad,Nizamabad District Hospital,9852023663,04:00 PM - 07:00 PM | 02:00 PM - 05:00 PM,Offline
Dr. Eva Srinivas,Psychiatrist,Jammu and Kashmir,Anantnag,"Sarvodaya Hospital, Anantnag",9560969080,10:00 AM - 01:00 PM | 09:00 AM - 12:00 PM,Offline
Dr. Neelofar Ghose,Neurologist,Rajasthan,Bundi,"Kokilaben Hospital, Bundi",8658931751,02:00 PM - 05:00 PM | 10:00 AM - 01:00 PM,Online
Dr. Ritvik Sani,General Physician,Bihar,Buxar,"Kalinga Hospital, Buxar",7949677876,02:00 PM - 05:00 PM | 09:00 AM - 12:00 PM,Offline
Dr. Hridaan Soni,Rheumatologist,Delhi,Najafgarh,"Paras Hospital, Najafgarh",2670969472,04:00 PM - 07:00 PM | 10:00 AM - 01:00 PM,Online
Dr. Ishaan Bhandari,Rheumatologist,Karnataka,Raichur,"Manipal Hospital, Raichur",7392736565,04:00 PM - 07:00 PM | 09:00 AM - 12:00 PM,Both
Dr. Nehmat Kala,Dermatologist,Tripura,Dharmanagar,"Apollo Hospital, Dharmanagar",0808556730,09:00 AM - 12:00 PM | 02:00 PM - 05:00 PM,Offline
Dr. Arnav Reddy,Pulmonologist,Jharkhand,Palamu,Palamu District Hospital,6694882523,04:00 PM - 07:00 PM | 04:00 PM - 07:00 PM,Online
Dr. Vihaan Grover,Physiotherapist,Bihar,Patna,Patna District Hospital,0040208542,10:00 AM - 01:00 PM | 09:00 AM - 12:00 PM,Offline
Dr. Kanav Dubey,Endocrinologist,Assam,Jorhat,"Medica Hospital, Jorhat",4997076260,06:00 PM - 09:00 PM | 06:00 PM - 09:00 PM,Both
Dr. Myra Sekhon,Rheumatologist,Assam,Barpeta,"Apollo Hospital, Barpeta",5162865005,10:00 AM - 01:00 PM | 10:00 AM - 01:00 PM,Offline
Dr. Nirvi Solanki,Dentist,Himachal Pradesh,Shimla,"BLK Hospital, Shimla",3846383132,02:00 PM - 05:00 PM | 09:00 AM - 12:00 PM,Both
Dr. Yuvaan Khare,Gynecologist,Tamil Nadu,Tiruchirappalli,"Manipal Hospital, Tiruchirappalli",7514504489,06:00 PM - 09:00 PM | 06:00 PM - 09:00 PM,Offline
Dr. Pihu Krishnamurthy,Pulmonologist,Jammu and Kashmir,Anantnag,"Paras Hospital, Anantnag",2818984850,09:00 AM - 12:00 PM | 10:00 AM - 01:00 PM,Online
Dr. Seher Tata,Dermatologist,Assam,Tinsukia,Tinsukia District Hospital,5741636358,02:00 PM - 05:00 PM | 09:00 AM - 12:00 PM,Both
Dr. Hunar Boase,Radiologist,Andhra Pradesh,Kadapa,"Apollo Hospital, Kadapa",0486642807,10:00 AM - 01:00 PM | 02:00 PM - 05:00 PM,Both
Dr. Vivaan Butala,Radiologist,Maharashtra,Nagpur,Nagpur District Hospital,0918052311,02:00 PM - 05:00 PM | 09:00 AM - 12:00 PM,Online
Dr. Emir Tak,Rheumatologist,Gujarat,Porbandar,"HCG Hospital, Porbandar",1021019087,02:00 PM - 05:00 PM | 06:00 PM - 09:00 PM,Offline
Dr. Jhanvi Dash,Nephrologist,Assam,Barpeta,"Apollo Hospital, Barpeta",7157568788,09:00 AM - 12:00 PM | 06:00 PM - 09:00 PM,Online
Dr. Kanav Mangat,General Physician,Mizoram,Lunglei,"Community Health Hospital, Lunglei",3158465877,04:00 PM - 07:00 PM | 06:00 PM - 09:00 PM,Offline
Dr. Dhanush Kala,Orthopedic Surgeon,Bihar,Katihar,"AMRI Hospital, Katihar",8918664195,06:00 PM - 09:00 PM | 02:00 PM - 05:00 PM,Both
Dr. Heer Hegde,Radiologist,Maharashtra,Solapur,"Kokilaben Hospital, Solapur",7252205576,10:00 AM - 01:00 PM | 09:00 AM - 12:00 PM,Online
Dr. Dishani Tandon,Gastroenterologist,Madhya Pradesh,Shivpuri,"Wockhardt Hospital, Shivpuri",2334676891,09:00 AM - 12:00 PM | 09:00 AM - 12:00 PM,Online
Dr. Miraan Kanda,Neurologist,Tamil Nadu,Tirunelveli,"Rainbow Hospital, Tirunelveli",0886746110,10:00 AM - 01:00 PM | 06:00 PM - 09:00 PM,Offline
Dr. Parinaaz Vala,Ophthalmologist,Himachal Pradesh,Mandi,"Sarvodaya Hospital, Mandi",1329281023,10:00 AM - 01:00 PM | 09:00 AM - 12:00 PM,Both
Dr. Divij Chander,ENT Specialist,Delhi,Dwarka,Dwarka District Hospital,9539447810,02:00 PM - 05:00 PM | 06:00 PM - 09:00 PM,Both
Dr. Urvi De,Ophthalmologist,Odisha,Cuttack,Cuttack District Hospital,6464039168,04:00 PM - 07:00 PM | 04:00 PM - 07:00 PM,Offline
Dr. Mahika Goyal,Cardiologist,Maharashtra,Pune,"Lilavati Hospital, Pune",4877682424,02:00 PM - 05:00 PM | 09:00 AM - 12:00 PM,Offline
Dr. Armaan Handa,Urologist,Assam,Tezpur,Tezpur District Hospital,2405597188,09:00 AM - 12:00 PM | 04:00 PM - 07:00 PM,Online
Dr. Nayantara Bala,Nephrologist,West Bengal,Murshidabad,"AMRI Hospital, Murshidabad",1046321145,04:00 PM - 07:00 PM | 10:00 AM - 01:00 PM,Online
Dr. Ehsaan Garde,Gastroenterologist,Bihar,Begusarai,"Apollo Hospital, Begusarai",5193238617,10:00 AM - 01:00 PM | 09:00 AM - 12:00 PM,Offline
Dr. Umang Ramakrishnan,Urologist,Uttarakhand,Mussoorie,"Max Hospital, Mussoorie",2798672497,04:00 PM - 07:00 PM | 09:00 AM - 12:00 PM,Offline
Dr. Zara Subramanian,Psychiatrist,Tamil Nadu,Tirunelveli,"KIMS Hospital, Tirunelveli",9303540941,02:00 PM - 05:00 PM | 02:00 PM - 05:00 PM,Both
Dr. Hiran Karnik,Ophthalmologist,Kerala,Wayanad,Wayanad District Hospital,1532087959,02:00 PM - 05:00 PM | 04:00 PM - 07:00 PM,Both
Dr. Saira Tailor,General Physician,Bihar,Siwan,Siwan District Hospital,9511204336,04:00 PM - 07:00 PM | 06:00 PM - 09:00 PM,Online
Dr. Emir Koshy,Urologist,Punjab,Ludhiana,"Fortis Hospital, Ludhiana",9236502532,10:00 AM - 01:00 PM | 06:00 PM - 09:00 PM,Both
Dr. Parinaaz Deep,Orthopedic Surgeon,West Bengal,Bankura,Bankura District Hospital,9390884527,02:00 PM - 05:00 PM | 10:00 AM - 01:00 PM,Both
Dr. Miraya Banik,Pediatrician,Delhi,Saket,Saket District Hospital,9496187171,10:00 AM - 01:00 PM | 02:00 PM - 05:00 PM,Offline
Dr. Shlok Tara,Physiotherapist,Uttar Pradesh,Rampur,"Sarvodaya Hospital, Rampur",1247616722,09:00 AM - 12:00 PM | 09:00 AM - 12:00 PM,Online
Dr. Myra Din,Gastroenterologist,Chhattisgarh,Dhamtari,"District Hospital Hospital, Dhamtari",7652732792,04:00 PM - 07:00 PM | 04:00 PM - 07:00 PM,Online
Dr. Alisha Bumb,Gynecologist,Tamil Nadu,Thoothukudi,Thoothukudi District Hospital,5471480576,02:00 PM - 05:00 PM | 02:00 PM - 05:00 PM,Online
Dr. Samarth Basak,General Physician,Punjab,Amritsar,"Sarvodaya Hospital, Amritsar",5468312920,09:00 AM - 12:00 PM | 04:00 PM - 07:00 PM,Both
Dr. Tiya Mangat,Physiotherapist,Karnataka,Bengaluru,Bengaluru District Hospital,7231244325,04:00 PM - 07:00 PM | 04:00 PM - 07:00 PM,Online
Dr. Purab Deo,Nephrologist,Andhra Pradesh,Visakhapatnam,Visakhapatnam District Hospital,2363082692,06:00 PM - 09:00 PM | 02:00 PM - 05:00 PM,Offline
Dr. Sana Agate,Neurologist,Karnataka,Udupi,"Manipal Hospital, Udupi",4678199906,02:00 PM - 05:00 PM | 09:00 AM - 12:00 PM,Offline
Dr. Saksham Dugar,Dentist,Odisha,Cuttack,"Medica Hospital, Cuttack",7655666227,02:00 PM - 05:00 PM | 09:00 AM - 12:00 PM,Online
Dr. Vihaan Saini,Dermatologist,Jammu and Kashmir,Baramulla,"Paras Hospital, Baramulla",2953840296,09:00 AM - 12:00 PM | 09:00 AM - 12:00 PM,Online
Dr. Vivaan Thaman,Nephrologist,Chhattisgarh,Ambikapur,Ambikapur District Hospital,1957475211,09:00 AM - 12:00 PM | 02:00 PM - 05:00 PM,Both
Dr. Sumer Cheema,Physiotherapist,Rajasthan,Kota,Kota District Hospital,9991676027,09:00 AM - 12:00 PM | 10:00 AM - 01:00 PM,Both
Dr. Zain Dhaliwal,Ophthalmologist,Jammu and Kashmir,Baramulla,"Max Hospital, Baramulla",5237888676,02:00 PM - 05:00 PM | 10:00 AM - 01:00 PM,Online
Dr. Yashvi Vohra,Orthopedic Surgeon,Uttarakhand,Haridwar,"Fortis Hospital, Haridwar",7036450265,06:00 PM - 09:00 PM | 09:00 AM - 12:00 PM,Online
